year_month,age,patient_gender_code,race_code,PCV_combined,COVID_severity,count
2020-04,0,F,A,PCV13_only,ICU_crit_care,3
2020-04,0,F,A,PCV13_only,non_resp_severe,0
2020-04,0,F,A,PCV13_only,non_severe,5
2020-04,0,F,A,PCV13_only,resp_severe,5
2020-04,0,F,A,PCV13_PPSV23_10yrs,ICU_crit_care,0
2020-04,0,F,A,PCV13_PPSV23_10yrs,non_resp_severe,0
2020-04,0,F,A,PCV13_PPSV23_10yrs,non_severe,7
2020-04,0,F,A,PCV13_PPSV23_10yrs,resp_severe,0
2020-04,0,F,A,PPSV23_10yrs,ICU_crit_care,3
2020-04,0,F,A,PPSV23_10yrs,non_resp_severe,0
2020-04,0,F,A,PPSV23_10yrs,non_severe,17
2020-04,0,F,A,PPSV23_10yrs,resp_severe,7
2020-04,0,F,A,U,ICU_crit_care,13
2020-04,0,F,A,U,non_resp_severe,3
2020-04,0,F,A,U,non_severe,127
2020-04,0,F,A,U,resp_severe,82
2020-04,0,F,B,PCV13_only,ICU_crit_care,13
2020-04,0,F,B,PCV13_only,non_resp_severe,3
2020-04,0,F,B,PCV13_only,non_severe,42
2020-04,0,F,B,PCV13_only,resp_severe,30
2020-04,0,F,B,PCV13_PPSV23_10yrs,ICU_crit_care,6
2020-04,0,F,B,PCV13_PPSV23_10yrs,non_resp_severe,1
2020-04,0,F,B,PCV13_PPSV23_10yrs,non_severe,25
2020-04,0,F,B,PCV13_PPSV23_10yrs,resp_severe,15
2020-04,0,F,B,PPSV23_10yrs,ICU_crit_care,16
2020-04,0,F,B,PPSV23_10yrs,non_resp_severe,6
2020-04,0,F,B,PPSV23_10yrs,non_severe,48
2020-04,0,F,B,PPSV23_10yrs,resp_severe,60
2020-04,0,F,B,U,ICU_crit_care,130
2020-04,0,F,B,U,non_resp_severe,44
2020-04,0,F,B,U,non_severe,569
2020-04,0,F,B,U,resp_severe,509
2020-04,0,F,H,PCV13_only,ICU_crit_care,9
2020-04,0,F,H,PCV13_only,non_resp_severe,3
2020-04,0,F,H,PCV13_only,non_severe,46
2020-04,0,F,H,PCV13_only,resp_severe,37
