year_month,age,patient_gender_code,race_code,PCV_combined,COVID_severity,count
2020-04,0,F,A,PCV13_only,ICU_crit_care,0
2020-04,0,F,A,PCV13_only,non_resp_severe,0
2020-04,0,F,A,PCV13_only,non_severe,5
2020-04,0,F,A,PCV13_only,resp_severe,6
2020-04,0,F,A,PCV13_PPSV23_10yrs,ICU_crit_care,0
2020-04,0,F,A,PCV13_PPSV23_10yrs,non_resp_severe,0
2020-04,0,F,A,PCV13_PPSV23_10yrs,non_severe,6
2020-04,0,F,A,PCV13_PPSV23_10yrs,resp_severe,3
2020-04,0,F,A,PPSV23_10yrs,ICU_crit_care,3
2020-04,0,F,A,PPSV23_10yrs,non_resp_severe,0
2020-04,0,F,A,PPSV23_10yrs,non_severe,9
2020-04,0,F,A,PPSV23_10yrs,resp_severe,2
2020-04,0,F,A,U,ICU_crit_care,21
2020-04,0,F,A,U,non_resp_severe,3
2020-04,0,F,A,U,non_severe,88
2020-04,0,F,A,U,resp_severe,69
2020-04,0,F,B,PCV13_only,ICU_crit_care,17
2020-04,0,F,B,PCV13_only,non_resp_severe,3
2020-04,0,F,B,PCV13_only,non_severe,41
2020-04,0,F,B,PCV13_only,resp_severe,30
2020-04,0,F,B,PCV13_PPSV23_10yrs,ICU_crit_care,4
2020-04,0,F,B,PCV13_PPSV23_10yrs,non_resp_severe,1
2020-04,0,F,B,PCV13_PPSV23_10yrs,non_severe,24
2020-04,0,F,B,PCV13_PPSV23_10yrs,resp_severe,19
2020-04,0,F,B,PPSV23_10yrs,ICU_crit_care,11
2020-04,0,F,B,PPSV23_10yrs,non_resp_severe,5
2020-04,0,F,B,PPSV23_10yrs,non_severe,28
2020-04,0,F,B,PPSV23_10yrs,resp_severe,29
2020-04,0,F,B,U,ICU_crit_care,98
2020-04,0,F,B,U,non_resp_severe,33
2020-04,0,F,B,U,non_severe,441
2020-04,0,F,B,U,resp_severe,450
2020-04,0,F,H,PCV13_only,ICU_crit_care,10
2020-04,0,F,H,PCV13_only,non_resp_severe,3
2020-04,0,F,H,PCV13_only,non_severe,52
2020-04,0,F,H,PCV13_only,resp_severe,51
2020-04,0,F,H,PCV13_PPSV23_10yrs,ICU_crit_care,0
2020-04,0,F,H,PCV13_PPSV23_10yrs,non_resp_severe,2
2020-04,0,F,H,PCV13_PPSV23_10yrs,non_severe,17
2020-04,0,F,H,PCV13_PPSV23_10yrs,resp_severe,19
2020-04,0,F,H,PPSV23_10yrs,ICU_crit_care,21
2020-04,0,F,H,PPSV23_10yrs,non_resp_severe,2
2020-04,0,F,H,PPSV23_10yrs,non_severe,44
2020-04,0,F,H,PPSV23_10yrs,resp_severe,27
2020-04,0,F,H,U,ICU_crit_care,82
2020-04,0,F,H,U,non_resp_severe,17
2020-04,0,F,H,U,non_severe,467
2020-04,0,F,H,U,resp_severe,391
2020-04,0,F,U,PCV13_only,ICU_crit_care,25
2020-04,0,F,U,PCV13_only,non_resp_severe,4
2020-04,0,F,U,PCV13_only,non_severe,67
2020-04,0,F,U,PCV13_only,resp_severe,54
2020-04,0,F,U,PCV13_PPSV23_10yrs,ICU_crit_care,9
2020-04,0,F,U,PCV13_PPSV23_10yrs,non_resp_severe,4
2020-04,0,F,U,PCV13_PPSV23_10yrs,non_severe,22
2020-04,0,F,U,PCV13_PPSV23_10yrs,resp_severe,20
2020-04,0,F,U,PPSV23_10yrs,ICU_crit_care,25
2020-04,0,F,U,PPSV23_10yrs,non_resp_severe,1
2020-04,0,F,U,PPSV23_10yrs,non_severe,71
2020-04,0,F,U,PPSV23_10yrs,resp_severe,53
2020-04,0,F,U,U,ICU_crit_care,307
2020-04,0,F,U,U,non_resp_severe,100
2020-04,0,F,U,U,non_severe,1173
2020-04,0,F,U,U,resp_severe,943
2020-04,0,F,W,PCV13_only,ICU_crit_care,29
2020-04,0,F,W,PCV13_only,non_resp_severe,9
2020-04,0,F,W,PCV13_only,non_severe,124
2020-04,0,F,W,PCV13_only,resp_severe,84
2020-04,0,F,W,PCV13_PPSV23_10yrs,ICU_crit_care,14
2020-04,0,F,W,PCV13_PPSV23_10yrs,non_resp_severe,2
2020-04,0,F,W,PCV13_PPSV23_10yrs,non_severe,46
2020-04,0,F,W,PCV13_PPSV23_10yrs,resp_severe,42
2020-04,0,F,W,PPSV23_10yrs,ICU_crit_care,10
2020-04,0,F,W,PPSV23_10yrs,non_resp_severe,5
2020-04,0,F,W,PPSV23_10yrs,non_severe,73
2020-04,0,F,W,PPSV23_10yrs,resp_severe,68
2020-04,0,F,W,U,ICU_crit_care,217
2020-04,0,F,W,U,non_resp_severe,88
2020-04,0,F,W,U,non_severe,1421
2020-04,0,F,W,U,resp_severe,936
2020-04,0,M,A,PCV13_only,ICU_crit_care,4
2020-04,0,M,A,PCV13_only,non_resp_severe,1
2020-04,0,M,A,PCV13_only,non_severe,6
2020-04,0,M,A,PCV13_only,resp_severe,8
2020-04,0,M,A,PCV13_PPSV23_10yrs,ICU_crit_care,2
2020-04,0,M,A,PCV13_PPSV23_10yrs,non_resp_severe,0
2020-04,0,M,A,PCV13_PPSV23_10yrs,non_severe,2
2020-04,0,M,A,PCV13_PPSV23_10yrs,resp_severe,10
2020-04,0,M,A,PPSV23_10yrs,ICU_crit_care,5
2020-04,0,M,A,PPSV23_10yrs,non_resp_severe,0
2020-04,0,M,A,PPSV23_10yrs,non_severe,6
2020-04,0,M,A,PPSV23_10yrs,resp_severe,5
2020-04,0,M,A,U,ICU_crit_care,52
2020-04,0,M,A,U,non_resp_severe,10
2020-04,0,M,A,U,non_severe,84
2020-04,0,M,A,U,resp_severe,93
2020-04,0,M,B,PCV13_only,ICU_crit_care,7
2020-04,0,M,B,PCV13_only,non_resp_severe,4
2020-04,0,M,B,PCV13_only,non_severe,26
2020-04,0,M,B,PCV13_only,resp_severe,32
2020-04,0,M,B,PCV13_PPSV23_10yrs,ICU_crit_care,4
2020-04,0,M,B,PCV13_PPSV23_10yrs,non_resp_severe,3
2020-04,0,M,B,PCV13_PPSV23_10yrs,non_severe,14
2020-04,0,M,B,PCV13_PPSV23_10yrs,resp_severe,10
2020-04,0,M,B,PPSV23_10yrs,ICU_crit_care,14
2020-04,0,M,B,PPSV23_10yrs,non_resp_severe,5
2020-04,0,M,B,PPSV23_10yrs,non_severe,25
2020-04,0,M,B,PPSV23_10yrs,resp_severe,32
2020-04,0,M,B,U,ICU_crit_care,125
2020-04,0,M,B,U,non_resp_severe,52
2020-04,0,M,B,U,non_severe,320
2020-04,0,M,B,U,resp_severe,345
2020-04,0,M,H,PCV13_only,ICU_crit_care,13
2020-04,0,M,H,PCV13_only,non_resp_severe,2
2020-04,0,M,H,PCV13_only,non_severe,34
2020-04,0,M,H,PCV13_only,resp_severe,31
